noise,rouge1,rouge2,rougeL,bleu1,bleu2,bleu4,exact_match,exact_match_no_punct,edit_mean,edit_median,embed_sim
0.0,0.6108809531703623,0.41370628351209027,0.5699711176707469,0.399814063017865,0.2999339539640448,0.1730914154400438,0.039,0.154,25.362,25.0,0.893345
0.001,0.6114860104415528,0.4150758856145705,0.5714458640363241,0.40262404880174435,0.302870339555336,0.17496478840120963,0.04,0.155,25.356,25.0,0.893581
0.002,0.6127393456191013,0.4158504546373869,0.5735129348897334,0.40443590885525027,0.30306913501753585,0.17506698885725402,0.04,0.158,25.317,25.0,0.893261
0.005,0.6063406658485726,0.40805454350272324,0.5662512409350728,0.39962226526346173,0.29850870902703114,0.17256812587192735,0.04,0.152,25.667,25.0,0.891532
0.008,0.5868953805768619,0.3914397076934265,0.5482023298644053,0.3895786711766356,0.2903450671879781,0.16339661377192888,0.035,0.143,26.449,27.0,0.885217
0.01,0.5797228417983936,0.3846833114908853,0.5422772221717395,0.37892602721212315,0.2801366309679742,0.15771786174613256,0.035,0.143,26.814,28.0,0.883334
0.015,0.5446669374950804,0.3439914353495572,0.5065919130270311,0.364764614105657,0.2635396442662499,0.1464555281019084,0.027,0.117,28.512,30.0,0.864617
0.02,0.48169388114343714,0.2866402482469983,0.4444689257570824,0.32370882717362026,0.2254263825806392,0.11908506487233832,0.022,0.093,30.597,32.0,0.841673
0.03,0.3501287670189428,0.16510130364419118,0.3205508949210604,0.2506888145388988,0.15612281059581956,0.06856014062529799,0.005,0.02,36.514,37.0,0.778774
0.04,0.26568452198208453,0.0953474861112969,0.240890550643447,0.2039636383790131,0.11105751425795683,0.03704162689625293,0.001,0.004,39.768,40.0,0.733519
0.05,0.20769332783810257,0.06370383457138609,0.18925359052611126,0.16349809344502972,0.08309563402683237,0.02392584821718705,0.0,0.003,42.33,42.0,0.704627
0.075,0.13553584653195067,0.02436801763607819,0.12130698282093995,0.11328500305703555,0.04624581804880881,0.011650032533970837,0.0,0.0,48.833,44.0,0.65593
0.1,0.11182371282113376,0.016867984350744165,0.10161035949411562,0.09514430076218207,0.03484581676352264,0.004363049252508618,0.0,0.0,51.37,44.0,0.644568
0.25,0.0801175280528433,0.008631241856849214,0.072142635754715,0.07292943442479427,0.022483163961031626,0.002705257314502281,0.0,0.0,55.8,46.0,0.627368
0.5,0.07495599690644364,0.006077343346044381,0.06770475253015806,0.07059871103489067,0.020219461010652383,2.7373697537180574e-79,0.0,0.0,54.009,47.0,0.625748
